prediction;test_price
29.62;29.75
29.75;29.57
29.73;29.65
29.46;29.86
29.56;29.68
29.86;30.3
29.84;30.2
30.24;30.37
30.2;30.91
30.31;30.96
30.74;30.88
31.08;31.27
30.96;31.21
31.2;31.24
31.2;31.12
31.08;30.67
31.05;31.01
30.89;31.06
31.08;31.32
31.01;31.76
31.11;32.21
31.45;32.17
31.95;32.7
32.13;32.36
32.39;32.27
32.25;32.34
32.11;32.5
32.07;33.17
32.26;33.32
32.79;33.19
33.25;33.01
33.2;33.13
33.0;32.18
32.96;33.81
32.42;33.36
33.22;33.07
33.43;33.34
32.9;33.66
32.95;33.15
33.41;33.09
33.38;32.35
33.34;33.02
33.05;32.87
33.28;32.62
33.32;32.7
33.05;33.25
33.01;33.44
33.39;33.67
33.57;33.64
33.63;33.43
33.72;33.11
33.72;33.27
33.47;33.19
33.46;33.62
33.3;33.72
33.57;33.46
33.92;33.51
33.62;33.55
33.53;33.56
33.48;33.8
33.46;34.36
33.54;34.14
33.79;33.94
33.92;33.83
33.84;34.05
33.57;33.94
33.56;33.96
33.43;34.24
33.4;35.3
33.6;36.18
34.36;35.9
35.05;35.72
35.16;35.77
35.08;35.67
35.05;35.47
35.29;35.55
35.06;35.58
35.03;35.67
35.09;35.39
35.15;35.47
34.88;35.98
34.78;36.16
35.22;36.09
35.5;35.71
35.71;35.73
35.53;35.18
35.27;35.19
34.91;36.11
34.76;36.66
35.36;36.67
35.72;36.86
35.89;37.07
36.25;37.29
36.39;39.26
36.64;39.22
38.04;39.31
38.48;39.15
38.6;39.02
38.32;39.57
38.23;39.57
38.54;39.44
38.75;38.62
38.73;38.15
38.17;38.41
37.51;38.89
37.69;39.6
37.95;38.93
38.61;39.2
38.51;39.9
38.59;39.43
38.94;38.95
38.89;39.12
38.79;39.04
38.83;38.45
38.81;38.87
38.66;38.25
39.01;37.68
38.57;36.76
38.0;36.91
37.14;37.33
36.77;37.87
36.99;37.52
37.5;38.25
37.68;38.81
38.14;38.91
38.67;38.5
38.76;38.88
38.56;39.25
38.73;39.02
39.08;38.8
38.96;38.6
38.62;38.42
38.47;38.27
38.34;38.07
38.16;37.81
38.04;37.93
37.8;37.69
37.48;37.76
36.85;37.14
36.87;37.59
36.86;37.3
37.09;37.44
37.11;38.07
37.13;38.27
37.6;37.97
38.12;38.33
37.94;38.55
37.88;38.95
37.81;39.02
38.09;39.18
38.45;39.0
38.71;38.59
38.72;38.65
38.44;38.99
38.36;39.02
38.41;39.76
38.53;37.59
39.11;37.65
37.74;37.59
37.25;37.06
37.13;37.13
36.73;37.5
36.71;37.47
36.97;37.58
37.21;37.27
37.11;37.21
36.83;37.24
36.61;37.11
36.63;37.59
36.73;37.69
37.09;36.58
37.18;36.27
36.43;35.66
35.85;35.67
35.49;35.63
35.33;35.52
35.2;35.65
34.84;34.86
34.79;34.74
34.3;34.94
34.22;34.76
34.38;34.42
34.59;34.44
34.34;34.62
34.11;35.11
34.2;34.69
34.67;34.24
34.49;34.03
34.21;34.47
34.01;34.33
34.13;34.72
34.2;35.35
34.35;35.96
34.85;36.19
35.46;35.83
35.54;35.98
35.22;36.14
35.33;35.51
35.31;35.45
35.0;35.82
34.92;35.84
35.21;35.56
35.22;35.09
35.11;35.8
34.63;35.64
34.91;36.89
34.87;36.81
35.58;36.73
35.85;36.68
35.73;35.78
35.86;35.67
35.28;34.97
34.8;34.81
34.49;33.47
34.28;33.89
33.38;32.01
33.39;31.85
32.38;29.91
31.74;31.42
30.44;28.56
30.87;29.08
29.51;29.96
29.25;30.47
29.62;30.26
30.03;30.21
29.97;29.47
30.19;28.84
29.65;28.99
29.2;29.07
29.01;29.44
29.03;28.98
29.28;29.34
28.96;30.02
28.85;30.41
29.12;30.84
29.67;30.22
30.04;29.39
29.79;28.76
29.07;29.54
28.65;28.93
28.81;28.11
28.83;28.33
28.13;28.48
28.28;29.24
28.18;29.83
28.83;29.8
29.28;29.44
29.5;29.26
29.11;28.32
29.09;26.76
28.56;27.01
27.54;27.44
27.31;28.21
27.49;27.6
28.02;27.75
27.87;27.31
27.91;26.26
27.81;27.04
26.93;28.53
27.1;29.0
28.21;28.7
28.69;29.88
28.66;29.53
29.42;30.57
29.17;30.38
29.76;31.21
29.99;30.23
30.48;30.73
30.12;30.43
30.32;30.64
30.25;31.84
30.06;32.03
30.97;31.25
31.55;31.74
31.19;32.85
31.44;32.79
32.09;31.58
32.18;30.42
31.42;30.85
30.76;31.72
31.06;31.47
31.67;31.83
31.66;31.95
31.82;30.6
31.72;31.36
30.98;33.23
31.31;32.7
32.42;33.0
32.61;32.17
32.68;31.83
32.44;32.26
31.75;31.08
32.2;30.8
31.41;30.24
30.95;30.34
30.27;30.85
30.2;30.79
30.5;32.46
30.5;32.59
31.64;33.15
31.96;33.45
32.12;33.35
32.54;33.59
32.7;32.52
32.84;33.1
32.12;33.18
32.14;32.9
32.17;32.37
32.14;32.4
31.93;32.52
32.16;31.99
31.7;33.3
31.45;33.39
32.08;34.02
32.39;34.71
32.91;34.63
33.58;34.29
33.81;34.72
33.39;34.52
33.88;35.27
34.12;35.77
35.11;36.37
35.52;36.74
35.9;36.6
36.11;36.49
36.01;35.63
36.22;35.66
35.62;35.35
35.31;35.43
35.01;35.92
34.89;36.31
35.0;36.19
35.64;36.14
35.97;36.14
35.96;36.42
35.85;36.23
36.12;36.14
36.17;35.9
35.8;35.81
35.44;36.21
35.35;35.82
35.48;36.83
35.41;37.25
35.77;37.73
36.41;38.0
36.81;38.23
37.01;38.16
37.41;38.47
37.21;38.3
37.72;37.98
37.59;38.24
37.75;38.44
37.53;38.27
37.95;38.0
37.52;38.19
37.59;38.03
37.56;38.34
37.62;38.6
37.78;38.66
38.25;39.03
38.42;39.0
38.84;39.31
38.97;38.67
39.0;38.44
38.46;38.69
38.06;38.89
38.41;38.98
38.42;40.52
38.5;40.03
39.42;40.02
39.44;39.76
39.36;39.99
39.08;39.81
39.16;39.84
39.14;39.86
39.05;40.19
39.11;40.86
38.92;40.65
39.61;40.06
39.71;39.6
39.31;40.31
38.94;40.36
39.36;39.86
39.27;39.52
38.9;39.66
38.5;38.77
38.45;37.74
37.85;38.09
37.27;38.81
37.31;38.53
37.96;38.35
38.12;39.29
38.14;39.12
38.78;38.74
38.83;38.99
38.78;38.68
38.75;38.83
38.26;39.31
38.4;39.92
38.58;39.91
39.1;39.69
39.15;40.32
39.38;40.09
40.1;40.33
39.91;39.52
39.98;40.34
39.34;40.79
39.29;41.45
39.59;41.69
40.15;41.95
40.39;41.59
40.79;41.44
41.07;41.5
40.96;40.81
40.73;40.33
40.33;40.87
40.0;40.87
39.8;40.7
40.05;40.91
40.04;40.97
40.0;41.87
40.03;41.61
40.73;42.08
40.9;40.88
40.85;40.89
40.18;41.28
40.26;41.92
40.61;42.01
41.28;42.57
41.43;42.17
41.82;42.7
42.01;42.56
42.64;43.44
42.85;43.35
43.27;43.36
43.3;43.74
43.04;43.94
43.1;43.64
43.28;43.7
43.38;42.99
43.3;43.55
42.88;44.07
43.18;44.03
43.84;44.65
43.82;44.85
44.22;44.73
44.41;44.29
44.24;44.23
43.92;44.19
43.8;43.6
43.85;43.52
43.35;43.65
43.01;44.37
43.0;44.06
43.32;45.43
43.51;45.43
44.44;45.1
44.64;44.73
44.25;44.17
43.85;44.34
43.37;44.47
43.26;45.77
43.34;45.98
44.21;45.85
44.52;45.24
44.52;44.95
43.99;45.09
43.97;45.82
43.98;45.71
44.4;45.86
44.33;46.48
44.47;46.0
44.99;45.71
44.76;45.9
44.37;45.75
44.15;45.93
43.81;46.26
43.86;46.46
44.11;46.45
44.82;45.7
45.05;45.72
44.48;45.27
44.33;45.63
43.98;45.69
44.29;45.69
44.01;46.07
43.76;45.5
43.99;45.54
43.67;45.72
43.7;46.76
44.1;47.75
44.85;47.63
45.78;47.43
45.59;47.47
45.41;47.6
45.38;48.43
45.61;48.2
46.05;48.01
45.94;47.78
45.78;48.52
45.59;48.48
46.06;48.56
46.47;48.72
46.46;48.37
46.55;47.82
46.24;48.41
45.77;48.13
45.92;47.94
46.19;47.54
46.21;48.31
45.64;48.45
46.01;48.77
46.45;48.18
46.7;47.42
46.5;47.15
45.59;46.35
45.08;46.58
44.47;46.76
44.53;47.17
44.69;48.14
44.74;48.26
45.33;47.78
45.53;47.68
45.23;46.73
45.34;46.63
44.93;46.27
44.39;46.11
43.99;45.22
43.92;45.83
43.51;45.9
43.6;46.33
43.47;46.47
43.72;46.11
43.78;46.07
43.66;43.33
43.55;43.69
42.06;44.15
41.63;43.43
41.89;43.7
41.71;43.66
41.84;44.11
41.89;44.6
42.15;44.82
42.33;45.35
42.52;45.14
42.53;44.74
42.49;45.3
42.28;45.78
42.59;45.72
43.09;45.38
43.41;45.39
43.31;45.66
42.92;45.86
43.08;46.03
43.16;46.09
43.15;46.25
43.2;46.4
43.69;45.91
43.98;45.5
43.69;46.07
43.18;46.95
43.61;46.68
43.82;47.61
43.77;46.74
44.67;46.63
44.42;46.6
44.24;46.3
44.37;45.95
43.84;46.54
43.81;47.77
43.98;47.87
44.85;48.79
45.01;47.65
45.44;47.45
44.96;47.47
44.53;47.48
44.58;47.28
44.75;47.29
44.92;47.76
44.77;48.17
44.99;48.99
45.44;48.93
46.05;49.29
46.09;50.43
46.16;50.43
47.0;50.83
47.01;50.82
47.5;50.47
47.96;50.28
47.69;50.37
47.51;51.03
47.56;50.39
47.84;50.75
47.62;50.97
47.81;50.82
47.82;51.1
47.58;51.18
47.67;51.37
47.99;51.38
48.18;51.3
48.38;51.98
48.3;52.1
48.92;51.04
48.88;50.64
48.33;50.71
48.05;50.1
47.97;50.39
47.94;50.93
47.93;51.03
48.23;51.72
48.13;52.16
48.44;52.8
48.73;52.69
49.04;52.65
49.19;53.65
49.31;53.9
49.65;53.39
50.03;53.6
50.08;53.98
50.12;53.83
50.27;53.12
50.04;52.64
49.76;53.23
49.17;52.64
49.16;53.08
48.88;52.54
48.96;52.94
48.79;52.79
49.01;53.1
49.33;52.99
49.51;53.71
49.55;53.52
50.14;53.83
50.04;53.94
50.39;54.98
50.59;55.28
51.61;56.19
51.94;56.6
52.48;56.6
52.64;55.04
52.61;56.79
51.57;56.72
52.38;56.08
52.65;57.55
52.11;57.97
52.73;58.51
53.23;57.9
53.71;57.96
53.68;57.84
53.45;58.89
53.27;58.74
53.99;59.09
54.06;59.71
54.17;60.57
54.29;60.82
55.11;61.76
55.38;61.69
56.25;62.32
56.48;62.82
57.21;62.93
57.55;63.07
57.55;63.26
57.41;62.14
57.43;62.24
56.73;61.81
56.71;61.54
56.2;61.29
55.79;60.98
55.36;61.22
55.4;62.34
55.64;61.94
56.29;60.43
56.62;58.97
55.59;59.64
54.54;60.15
54.38;59.0
54.86;59.02
54.45;60.62
54.18;59.67
54.94;59.64
55.13;58.88
54.73;60.11
54.44;59.64
55.02;60.28
54.63;61.03
54.46;60.14
54.82;57.94
54.41;58.64
53.46;58.37
53.63;58.49
53.52;59.09
53.51;59.57
53.99;59.03
54.1;59.76
53.6;59.14
53.77;59.46
53.4;59.66
53.39;60.49
53.81;60.71
55.05;60.68
55.22;62.24
55.38;62.61
56.4;61.63
56.67;60.79
56.11;61.1
55.57;61.53
55.58;60.91
55.51;60.2
55.37;60.25
54.65;60.43
54.55;60.34
54.59;60.74
54.76;60.4
54.85;60.0
54.6;60.43
54.34;61.1
54.78;62.17
55.22;61.72
56.08;62.68
56.0;61.61
56.47;61.46
55.99;60.51
55.98;59.76
55.29;59.81
54.49;59.79
54.24;58.31
54.19;58.12
53.43;57.8
53.2;57.85
53.62;57.15
53.71;57.62
52.98;57.7
53.06;57.35
53.04;56.73
52.36;56.84
52.33;57.1
52.3;56.86
52.55;56.96
52.53;57.13
52.81;57.3
53.0;57.39
53.16;57.57
53.06;58.73
53.19;59.77
53.42;61.22
54.63;62.34
55.73;62.58
56.59;62.61
56.95;62.73
57.21;61.43
57.29;60.77
56.67;60.53
56.12;60.13
55.56;60.25
54.67;60.99
54.57;60.94
55.14;60.28
55.12;60.6
54.75;60.65
54.84;59.85
54.62;61.04
53.87;60.38
54.1;59.83
54.25;59.44
53.98;61.3
53.84;61.89
54.55;62.47
55.31;62.11
55.7;62.02
55.63;62.09
55.32;62.77
55.18;63.2
55.29;64.5
55.72;63.68
56.23;64.55
56.09;64.74
56.38;64.5
56.83;64.43
56.59;64.01
56.81;64.12
56.73;64.51
56.86;64.32
57.5;64.36
57.13;64.5
56.74;62.77
56.63;64.11
56.04;63.88
56.35;63.35
56.48;64.47
56.57;65.45
57.37;65.44
58.05;64.97
58.48;64.61
58.37;64.72
58.18;65.38
57.9;65.62
58.11;65.19
58.6;66.54
58.2;66.16
58.59;65.94
58.81;66.29
58.3;65.34
58.19;65.41
57.63;65.65
57.72;66.8
57.99;66.47
58.62;66.9
58.83;65.92
58.78;65.89
58.13;65.88
58.03;66.73
58.27;66.87
58.55;68.33
58.75;69.05
59.58;68.51
59.95;69.35
60.06;69.89
60.5;70.62
61.24;70.36
61.69;72.14
61.57;72.3
62.39;72.18
63.09;72.03
62.73;71.75
62.53;72.24
62.44;71.18
62.67;70.88
62.3;71.34
62.26;69.34
62.19;70.45
61.22;70.29
61.45;70.23
61.41;70.01
61.21;70.22
61.6;71.27
61.87;70.78
62.36;68.82
62.32;68.37
61.21;68.97
60.24;67.5
60.42;69.29
59.97;68.71
60.4;66.23
60.25;67.24
59.15;67.91
58.74;71.51
59.14;71.61
61.18;72.92
62.01;73.62
62.72;73.73
63.27;73.72
63.69;74.98
63.78;75.31
64.21;74.64
64.68;74.94
64.51;75.83
64.06;76.4
64.72;75.91
65.24;75.78
65.22;76.16
64.71;76.47
64.48;75.2
64.94;77.33
64.55;78.24
65.18;78.87
66.0;77.8
66.58;77.57
65.96;76.7
65.89;77.01
65.36;75.64
65.05;75.77
64.53;77.02
64.41;77.59
64.77;76.2
65.54;76.47
64.97;76.04
64.82;75.22
64.44;75.28
64.1;74.4
64.05;74.27
63.88;74.75
64.13;75.77
64.38;77.19
64.71;77.29
65.88;77.31
66.69;76.11
66.74;74.88
66.13;75.3
64.73;76.15
64.28;73.35
64.72;72.88
63.89;73.45
63.23;73.49
63.47;74.71
63.22;75.7
64.0;74.86
64.88;75.19
64.63;75.25
64.7;75.32
64.86;74.03
64.71;73.61
64.31;74.42
64.31;75.08
65.22;75.29
65.56;76.0
66.28;76.86
66.76;76.68
67.0;75.98
67.07;77.22
67.19;77.55
67.3;78.0
67.6;77.68
67.84;76.58
67.24;75.85
65.95;76.08
65.33;76.7
65.59;76.74
65.77;77.78
65.53;77.93
65.88;78.85
65.7;79.25
66.2;79.11
67.06;79.52
66.7;79.5
66.5;79.75
66.21;79.38
66.88;79.72
67.34;80.23
67.38;80.07
67.56;80.89
67.86;80.2
67.71;79.79
67.49;78.36
67.86;78.36
67.2;78.83
66.54;78.7
66.99;79.09
67.04;79.27
67.08;78.38
67.71;78.32
67.29;78.24
66.96;79.4
66.79;79.92
67.91;80.72
68.46;81.14
68.81;81.83
69.01;81.8
69.39;82.18
69.34;81.94
69.61;81.25
69.38;82.54
68.86;82.2
69.53;82.23
69.56;82.1
69.75;81.53
69.87;80.77
69.5;80.47
68.77;81.21
68.72;81.14
68.23;81.58
67.97;81.42
68.05;82.14
68.16;81.6
68.35;82.47
68.73;81.57
68.81;82.53
67.95;81.27
67.82;80.8
67.28;82.56
66.54;82.09
67.31;81.94
67.16;80.92
66.81;82.19
66.01;82.8
66.49;82.53
67.36;82.9
67.19;83.85
67.5;84.49
67.94;85.14
69.04;85.26
69.76;85.02
69.76;85.53
70.46;85.63
70.84;85.53
70.92;85.19
70.77;85.52
70.74;85.39
70.49;85.06
70.1;85.93
69.44;86.06
69.55;85.3
69.96;86.06
70.24;85.7
70.68;84.79
70.34;84.72
69.83;85.14
69.47;84.86
70.11;85.25
69.82;85.43
69.85;85.48
69.99;85.49
69.91;85.63
69.84;84.5
69.6;83.57
69.18;84.65
68.57;83.34
68.65;83.98
68.2;84.06
68.56;84.25
68.87;82.79
69.26;82.13
68.77;83.7
67.94;83.81
68.56;82.44
69.08;83.38
68.7;81.11
69.1;81.64
67.73;79.41
67.41;79.62
66.14;77.68
66.02;77.35
65.19;79.33
64.2;80.93
65.13;82.84
66.23;82.43
67.67;83.27
67.81;83.85
67.71;83.7
67.91;85.1
68.19;84.73
68.48;85.38
68.36;86.48
69.13;86.79
69.78;85.5
69.97;86.12
69.42;87.06
68.76;85.17
69.25;84.96
68.0;85.15
67.73;85.08
67.6;85.63
67.47;85.93
67.78;85.56
68.23;85.44
68.09;85.0
68.41;84.13
68.22;84.19
67.33;85.72
